Transaction_ID,Employee_ID,Department,Region,Transaction_Timestamp,Amount_USD,Merchant_Name,MCC,Context_Fail_Reason,Action_Required
TXN_002388,EMP_021,Corporate Marketing,APAC,2025-10-05 19:13:00,94.15,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_2045,EMP_028,Corporate Marketing,,2025-02-22 15:00:00,203.45,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_7877,EMP_028,Corporate Marketing,,2025-05-31 21:00:00,207.91,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_011463,EMP_033,Corporate Marketing,EMEA,2025-03-23 19:16:00,258.31,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_9215,EMP_033,Corporate Marketing,EMEA,2025-07-19 15:00:00,242.07,Local Steakhouse,5812,"No approved travel itinerary on 2025-07-19 — weekend hospitality spend of $242.07 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_003836,EMP_033,Corporate Marketing,EMEA,2025-11-15 20:22:00,52.46,Global Logistics Tech,5999,Active travel itinerary found but MCC 5999 (Global Logistics Tech) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_003123,EMP_038,Corporate Marketing,LATAM,2025-04-12 00:43:00,18.75,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008200,EMP_053,Corporate Marketing,EMEA,2025-02-23 15:09:00,192.83,Hilton Hotels,7011,"No approved travel itinerary on 2025-02-23 — weekend hospitality spend of $192.83 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_005516,EMP_056,Corporate Marketing,APAC,2025-03-02 16:01:00,314.83,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_7650,EMP_067,Corporate Marketing,LATAM,2025-04-12 15:00:00,172.28,Tokyo Dining Corp,5812,"No approved travel itinerary on 2025-04-12 — weekend hospitality spend of $172.28 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_001934,EMP_067,Corporate Marketing,LATAM,2025-08-24 23:38:00,94.49,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002920,EMP_069,Corporate Marketing,LATAM,2025-06-08 20:11:00,52.41,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_004254,EMP_069,Corporate Marketing,LATAM,2025-10-26 11:41:00,212.25,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
